"Data Source","World Development Indicators",

"Last Updated Date","2020-10-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Antigua and Barbuda","ATG","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.5519981384277","61.9099998474121","61.673999786377","62.023998260498","62.7470016479492","63.0880012512207","63.3219985961914","63.826000213623","64.1630020141602","63.5709991455078","64.6220016479492","64.6360015869141","65.1050033569336","64.745002746582","64.8679962158203","64.5800018310547","64.6940002441406","64.1510009765625","64.6549987792969","64.8980026245117","65.443000793457","65.4980010986328","65.9520034790039","65.8519973754883","67.3489990234375","67.4059982299805","66.9860000610352","66.4789962768555","66.6419982910156","66.7119979858398",
"Austria","AUT","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.3440017700195","48.6920013427734","49.2929992675781","49.5","50.1860008239746","51.9480018615723","52.6290016174316","52.726001739502","52.4449996948242","51.9360008239746","53.1189994812012","52.9329986572266","53.0509986877441","57.2970008850098","55.0810012817383","54.4300003051758","55.3520011901855","56.7840003967285","57.9860000610352","58.1349983215332","57.076000213623","57.1780014038086","57.9169998168945","57.6769981384277","57.3959999084473","57.7019996643066","59.0110015869141","58.7019996643066","59.0429992675781","59.4129981994629",
"Azerbaijan","AZE","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.2879981994629","46.3429985046387","46.4739990234375","46.4490013122559","46.7729988098145","46.798999786377","47.5330009460449","48.0190010070801","48.2630004882813","49.6759986877441","48.5709991455078","43.9539985656738","43.8979988098145","43.9309997558594","43.7369995117188","43.9119987487793","43.6619987487793","43.5480003356934","48.2179985046387","46.8230018615723","46.3059997558594","46.3429985046387","46.7099990844727","46.8409996032715","47.2379989624023","46.9519996643066","46.8940010070801","46.1660003662109","46.2299995422363","46.3409996032715",
"Burundi","BDI","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.61900043487549","8.66800022125244","8.71199989318848","8.77600002288818","8.80300045013428","8.76599979400635","8.8149995803833","8.97000026702881","9.04100036621094","9.10700035095215","9.14299964904785","9.16399955749512","9.11600017547607","9.03499984741211","9.13899993896484","9.17899990081787","9.27200031280518","9.26799964904785","9.29899978637695","9.33100032806396","9.4040002822876","9.47399997711182","9.49100017547607","9.60499954223633","9.59200000762939","9.60000038146973","9.61600017547607","9.63899993896484","9.64799976348877","9.6560001373291",
"Belgium","BEL","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.0180015563965","56.4220008850098","57.2949981689453","57.9959983825684","58.8499984741211","59.5870018005371","59.5900001525879","59.9360008239746","61.0950012207031","61.4189987182617","62.9039993286133","62.1240005493164","62.875","61.6290016174316","62.5880012512207","62.0019989013672","62.7459983825684","61.8460006713867","63.4490013122559","63.9980010986328","63.9280014038086","65.7900009155273","65.4120025634766","65.7979965209961","65.6800003051758","65.8809967041016","67.370002746582","66.802001953125","67.1080017089844","67.4309997558594",
"Benin","BEN","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.7590007781982","25.8460006713867","25.9060001373291","25.8740005493164","25.9750003814697","26.0330009460449","26.1580009460449","26.2810001373291","26.4340000152588","26.6420001983643","26.8229999542236","26.9769992828369","27.2259998321533","27.4080009460449","27.5930004119873","27.8369998931885","28.1560001373291","28.4820003509521","28.7189998626709","28.9750003814697","29.4130001068115","29.7889995574951","30.1889991760254","30.5410003662109","30.806999206543","30.9610004425049","31.2800006866455","31.6590003967285","31.9890003204346","32.2929992675781",
"Burkina Faso","BFA","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.55600023269653","5.65700006484985","5.78700017929077","5.93900012969971","6.49499988555908","7.10900020599365","7.8289999961853","8.56999969482422","9.48799991607666","10.4289999008179","11.3699998855591","12.5050001144409","13.7969999313354","15.2430000305176","16.7159996032715","18.4500007629395","20.2800006866455","21.8910007476807","23.8129997253418","25.6149997711182","27.4740009307861","29.2740001678467","30.9080009460449","32.3320007324219","33.1100006103516","33.6990013122559","34.2220001220703","34.6030006408691","34.9280014038086","35.201000213623",
"Bangladesh","BGD","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.8939990997314","22.5960006713867","24.4069995880127","26.2259998321533","28.048999786377","29.8409996032715","29.1790008544922","28.6620006561279","28.2700004577637","27.9710006713867","30.2119998931885","32.5550003051758","35.0169982910156","37.5040016174316","40.0670013427734","42.8269996643066","42.1829986572266","41.4249992370605","40.5639991760254","39.7610015869141","40.476001739502","41.0169982910156","41.4140014648438","42.1349983215332","42.6119995117188","43.1300010681152","45.4980010986328","46.2519989013672","46.7309989929199","47.2150001525879",
"Bulgaria","BGR","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.7589988708496","33.7449989318848","35.515998840332","37.2840003967285","38.867000579834","40.8279991149902","42.2319984436035","43.8489990234375","45.3050003051758","46.9770011901855","51.6559982299805","50.8489990234375","50.6689987182617","50.3520011901855","50.3930015563965","50.1570014953613","49.3380012512207","48.0919990539551","49.0509986877441","51.0439987182617","53.2890014648438","54.6780014038086","55.476001739502","54.5660018920898","54.6990013122559","54.7849998474121","54.5299987792969","54.5989990234375","54.6629981994629","54.7719993591309",
